Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
aggression.2015.m,1.6148063409053768,2.225806451612903,2.374815439780637,0.8015989190406486,1.1962274303315479,No,No,No,No,No,Aggression  (M),Adult,Behavioural,96,Shorter et al (2015) PNAS,Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.,Traits measured in males,71
approach.female.m,1.2050716648291069,2.1520882584712373,1.9563932002956392,0.675392670157068,1.0703751571544142,No,No,No,No,No,Approach female (M),Adult,Behavioural,37,Gaertner et al (2015) G3,"Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.",Traits measured in males,72
attempted.copulation.frequency.m,0.04760034047011065,2.28879753340185,0.24426471731860955,0.06199389353511217,0.47463985233786005,No,No,No,No,No,Attempted copulation frequency (M),Adult,Behavioural,37,Gaertner et al (2015) G3,"Mean number of attempted copulations by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of copulation attempts, and potentially more persistent courtship.",Traits measured in males,73
food.intake.f,10.065006915629322,4.0489113284947935,15.376663254861821,1.7397260273972603,2.958237379577585,No,No,No,No,No,Food intake (F),Adult,Behavioural,38,Garlapow et al (2015) PLOS One,Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.,Traits measured in females,74
food.intake.m,4.559416261292564,2.700277520814061,5.974716652136007,1.4198427102238353,1.833643351626272,No,No,No,No,No,Food intake (M),Adult,Behavioural,38,Garlapow et al (2015) PLOS One,Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.,Traits measured in males,75
genital.licking.frequency.m,0.3777662963919745,0.077513637281971845,0.07860320884454632,2.5834266517357225,2.260767417026143,No,No,No,No,No,Genital licking frequency (M),Adult,Behavioural,37,Gaertner et al (2015) G3,"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",Traits measured in males,76
isolated.aggression.m,1.597824322130216,3.8869883934025657,3.7421458209839953,0.5353612897034834,1.3146710687852607,No,No,No,No,No,Isolated aggression (M),Adult,Behavioural,90,Rohde et al (2017) Genetics,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Traits measured in males,77
mating.latency.2015.m,0.7805475183618963,5.002501250625312e-4,0.006226023520533299,96.5609756097561,1.2808313516235101,No,Yes,Yes,Yes,No,Mating latency  (M),Adult,Behavioural,37,Gaertner et al (2015) G3,"Mean latency until a DGRP male was observed copulating with a virgin female, detected by scan sampling 30 times over a 15 minute period. Lower values indicate males that began mating faster, which could be interpreted as males that are more attractive to females.",Traits measured in males,78
orient.towards.female.m,0.7941242431038349,0.07998650016874789,0.1510791366906475,4.2493438320209975,1.216687046910466,No,No,No,No,No,Orient towards female (M),Adult,Behavioural,37,Gaertner et al (2015) G3,"Mean number of times a DGRP male orientated towards a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of orientations, and potentially more persistent courtship.",Traits measured in males,79
social.aggression.m,2.1520882584712373,1.3058077532785703,2.1001743848091454,1.4198427102238353,1.1018878302599462,No,No,No,No,No,Social aggression (M),Adult,Behavioural,90,Rohde et al (2017) Genetics,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in a mixed Sex environment for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Traits measured in males,80
social.effect.aggression.m,2.4312674244048895,0.5239546623487952,1.1798365122615804,3.0010002500625155,0.7694426461638767,No,No,No,No,No,Social effect aggression (M),Adult,Behavioural,90,Rohde et al (2017) Genetics,"Mean difference in aggressive behavior between male flies raised in social and socially isolated environments. Higher values indicate that males raised in a social environment were more aggressive than males experiencing isolation (the authors adjusted line means to meet normality expectations, we present udjusted means for the social and isolation line means).",Traits measured in males,81
song.interpulse.interval.m,3.1536863966770508,0.41668142376483086,1.2383883603805261,4.35833891493637,0.6481356135426891,No,No,No,No,No,Song interpulse interval (M),Adult,Behavioural,102,"Turner, Miller and Cochrane (2013) Molecular Biology and Evolution","Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.",Traits measured in males,82
wing.display.frequency.m,0.4422210203713719,0.08917631041524847,0.10375275938189846,2.6496350364963503,1.9560422658618224,No,No,No,No,No,Wing display frequency (M),Adult,Behavioural,37,Gaertner et al (2015) G3,"Mean number of times a DGRP male extended their wing at a 90 degree angle in rapid vibration while in the presence of a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of wing displays, and potentially more persistent courtship.",Traits measured in males,83
CHC.11 & 9-Me-C23.f,0.8317115054378935,0.5217804831653035,0.550688117852297,1.4027631776543024,1.0594601543533209,No,No,No,No,No,CHC 11 & 9-Me-C23 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,84
CHC.13- & 11-Me-C25.f,2.7718057520037718,0.6736401673640168,1.5864856126737794,2.783400331047529,0.8321708590934647,No,No,No,No,No,CHC 13- & 11-Me-C25 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,85
CHC.2-Me-C22.f,0.15473441108545036,0.0707354614200629,0.03365850507138704,1.5885779000161786,4.48372635657108,No,No,No,No,No,CHC 2-Me-C22 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,86
CHC.2-Me-C22.m,0.1732785803329178,0.021059349074664963,0.014198782961460446,2.9990002499375157,5.164453162436712,No,Yes,Yes,No,No,CHC 2-Me-C22 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,87
CHC.2-Me-C24.f,0.14359230934171968,0.02741925126822064,0.017552785550750447,2.369839932603201,5.870580854471597,No,No,Yes,No,No,CHC 2-Me-C24 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,88
CHC.2-Me-C24.m,0.6571724495080269,0.23858182381173557,0.26462219411950677,1.9996250468691414,1.291413768281857,No,No,No,No,No,CHC 2-Me-C24 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,89
